fp_data,fp_graph,fp_regime,fp_intervention,split,n_samples,n_variables
csuite_grid_datasets/csuite_collider_3n_p1_continuous_1000_0042/data.npy,csuite_grid_datasets/csuite_collider_3n_p1_continuous_1000_0042/graph.npy,csuite_grid_datasets/csuite_collider_3n_p1_continuous_1000_0042/regimes.csv,csuite_grid_datasets/csuite_collider_3n_p1_continuous_1000_0042/interventions.csv,test,200,3
csuite_grid_datasets/csuite_collider_3n_p1_continuous_1000_0043/data.npy,csuite_grid_datasets/csuite_collider_3n_p1_continuous_1000_0043/graph.npy,csuite_grid_datasets/csuite_collider_3n_p1_continuous_1000_0043/regimes.csv,csuite_grid_datasets/csuite_collider_3n_p1_continuous_1000_0043/interventions.csv,train,800,3
csuite_grid_datasets/csuite_collider_3n_p1_continuous_1000_0043/data.npy,csuite_grid_datasets/csuite_collider_3n_p1_continuous_1000_0043/graph.npy,csuite_grid_datasets/csuite_collider_3n_p1_continuous_1000_0043/regimes.csv,csuite_grid_datasets/csuite_collider_3n_p1_continuous_1000_0043/interventions.csv,test,200,3
csuite_grid_datasets/csuite_collider_3n_p1_continuous_1000_0044/data.npy,csuite_grid_datasets/csuite_collider_3n_p1_continuous_1000_0044/graph.npy,csuite_grid_datasets/csuite_collider_3n_p1_continuous_1000_0044/regimes.csv,csuite_grid_datasets/csuite_collider_3n_p1_continuous_1000_0044/interventions.csv,train,800,3
csuite_grid_datasets/csuite_collider_3n_p1_continuous_1000_0044/data.npy,csuite_grid_datasets/csuite_collider_3n_p1_continuous_1000_0044/graph.npy,csuite_grid_datasets/csuite_collider_3n_p1_continuous_1000_0044/regimes.csv,csuite_grid_datasets/csuite_collider_3n_p1_continuous_1000_0044/interventions.csv,test,200,3
csuite_grid_datasets/csuite_chain_2n_p1_continuous_1000_0042/data.npy,csuite_grid_datasets/csuite_chain_2n_p1_continuous_1000_0042/graph.npy,csuite_grid_datasets/csuite_chain_2n_p1_continuous_1000_0042/regimes.csv,csuite_grid_datasets/csuite_chain_2n_p1_continuous_1000_0042/interventions.csv,train,800,2
csuite_grid_datasets/csuite_chain_2n_p1_continuous_1000_0042/data.npy,csuite_grid_datasets/csuite_chain_2n_p1_continuous_1000_0042/graph.npy,csuite_grid_datasets/csuite_chain_2n_p1_continuous_1000_0042/regimes.csv,csuite_grid_datasets/csuite_chain_2n_p1_continuous_1000_0042/interventions.csv,test,200,2
csuite_grid_datasets/csuite_chain_2n_p1_continuous_1000_0043/data.npy,csuite_grid_datasets/csuite_chain_2n_p1_continuous_1000_0043/graph.npy,csuite_grid_datasets/csuite_chain_2n_p1_continuous_1000_0043/regimes.csv,csuite_grid_datasets/csuite_chain_2n_p1_continuous_1000_0043/interventions.csv,train,800,2
csuite_grid_datasets/csuite_chain_2n_p1_continuous_1000_0043/data.npy,csuite_grid_datasets/csuite_chain_2n_p1_continuous_1000_0043/graph.npy,csuite_grid_datasets/csuite_chain_2n_p1_continuous_1000_0043/regimes.csv,csuite_grid_datasets/csuite_chain_2n_p1_continuous_1000_0043/interventions.csv,test,200,2
csuite_grid_datasets/csuite_chain_2n_p1_continuous_1000_0044/data.npy,csuite_grid_datasets/csuite_chain_2n_p1_continuous_1000_0044/graph.npy,csuite_grid_datasets/csuite_chain_2n_p1_continuous_1000_0044/regimes.csv,csuite_grid_datasets/csuite_chain_2n_p1_continuous_1000_0044/interventions.csv,train,800,2
csuite_grid_datasets/csuite_chain_2n_p1_continuous_1000_0044/data.npy,csuite_grid_datasets/csuite_chain_2n_p1_continuous_1000_0044/graph.npy,csuite_grid_datasets/csuite_chain_2n_p1_continuous_1000_0044/regimes.csv,csuite_grid_datasets/csuite_chain_2n_p1_continuous_1000_0044/interventions.csv,test,200,2
csuite_grid_datasets/csuite_chain_3n_p1_continuous_1000_0042/data.npy,csuite_grid_datasets/csuite_chain_3n_p1_continuous_1000_0042/graph.npy,csuite_grid_datasets/csuite_chain_3n_p1_continuous_1000_0042/regimes.csv,csuite_grid_datasets/csuite_chain_3n_p1_continuous_1000_0042/interventions.csv,train,800,3
csuite_grid_datasets/csuite_chain_3n_p1_continuous_1000_0042/data.npy,csuite_grid_datasets/csuite_chain_3n_p1_continuous_1000_0042/graph.npy,csuite_grid_datasets/csuite_chain_3n_p1_continuous_1000_0042/regimes.csv,csuite_grid_datasets/csuite_chain_3n_p1_continuous_1000_0042/interventions.csv,test,200,3
csuite_grid_datasets/csuite_chain_3n_p1_continuous_1000_0043/data.npy,csuite_grid_datasets/csuite_chain_3n_p1_continuous_1000_0043/graph.npy,csuite_grid_datasets/csuite_chain_3n_p1_continuous_1000_0043/regimes.csv,csuite_grid_datasets/csuite_chain_3n_p1_continuous_1000_0043/interventions.csv,train,800,3
csuite_grid_datasets/csuite_chain_3n_p1_continuous_1000_0043/data.npy,csuite_grid_datasets/csuite_chain_3n_p1_continuous_1000_0043/graph.npy,csuite_grid_datasets/csuite_chain_3n_p1_continuous_1000_0043/regimes.csv,csuite_grid_datasets/csuite_chain_3n_p1_continuous_1000_0043/interventions.csv,test,200,3
csuite_grid_datasets/csuite_chain_3n_p1_continuous_1000_0044/data.npy,csuite_grid_datasets/csuite_chain_3n_p1_continuous_1000_0044/graph.npy,csuite_grid_datasets/csuite_chain_3n_p1_continuous_1000_0044/regimes.csv,csuite_grid_datasets/csuite_chain_3n_p1_continuous_1000_0044/interventions.csv,train,800,3
csuite_grid_datasets/csuite_chain_3n_p1_continuous_1000_0044/data.npy,csuite_grid_datasets/csuite_chain_3n_p1_continuous_1000_0044/graph.npy,csuite_grid_datasets/csuite_chain_3n_p1_continuous_1000_0044/regimes.csv,csuite_grid_datasets/csuite_chain_3n_p1_continuous_1000_0044/interventions.csv,test,200,3
csuite_grid_datasets/csuite_collider_3n_p1_continuous_1000_0042/data.npy,csuite_grid_datasets/csuite_collider_3n_p1_continuous_1000_0042/graph.npy,csuite_grid_datasets/csuite_collider_3n_p1_continuous_1000_0042/regimes.csv,csuite_grid_datasets/csuite_collider_3n_p1_continuous_1000_0042/interventions.csv,train,800,3
csuite_grid_datasets/csuite_collider_3n_p1_continuous_1000_0042/data.npy,csuite_grid_datasets/csuite_collider_3n_p1_continuous_1000_0042/graph.npy,csuite_grid_datasets/csuite_collider_3n_p1_continuous_1000_0042/regimes.csv,csuite_grid_datasets/csuite_collider_3n_p1_continuous_1000_0042/interventions.csv,test,200,3
csuite_grid_datasets/csuite_collider_3n_p1_continuous_1000_0043/data.npy,csuite_grid_datasets/csuite_collider_3n_p1_continuous_1000_0043/graph.npy,csuite_grid_datasets/csuite_collider_3n_p1_continuous_1000_0043/regimes.csv,csuite_grid_datasets/csuite_collider_3n_p1_continuous_1000_0043/interventions.csv,train,800,3
csuite_grid_datasets/csuite_collider_3n_p1_continuous_1000_0043/data.npy,csuite_grid_datasets/csuite_collider_3n_p1_continuous_1000_0043/graph.npy,csuite_grid_datasets/csuite_collider_3n_p1_continuous_1000_0043/regimes.csv,csuite_grid_datasets/csuite_collider_3n_p1_continuous_1000_0043/interventions.csv,test,200,3
csuite_grid_datasets/csuite_collider_3n_p1_continuous_1000_0044/data.npy,csuite_grid_datasets/csuite_collider_3n_p1_continuous_1000_0044/graph.npy,csuite_grid_datasets/csuite_collider_3n_p1_continuous_1000_0044/regimes.csv,csuite_grid_datasets/csuite_collider_3n_p1_continuous_1000_0044/interventions.csv,train,800,3
csuite_grid_datasets/csuite_collider_3n_p1_continuous_1000_0044/data.npy,csuite_grid_datasets/csuite_collider_3n_p1_continuous_1000_0044/graph.npy,csuite_grid_datasets/csuite_collider_3n_p1_continuous_1000_0044/regimes.csv,csuite_grid_datasets/csuite_collider_3n_p1_continuous_1000_0044/interventions.csv,test,200,3
csuite_grid_datasets/csuite_backdoor_3n_p1_continuous_1000_0042/data.npy,csuite_grid_datasets/csuite_backdoor_3n_p1_continuous_1000_0042/graph.npy,csuite_grid_datasets/csuite_backdoor_3n_p1_continuous_1000_0042/regimes.csv,csuite_grid_datasets/csuite_backdoor_3n_p1_continuous_1000_0042/interventions.csv,train,800,3
csuite_grid_datasets/csuite_backdoor_3n_p1_continuous_1000_0042/data.npy,csuite_grid_datasets/csuite_backdoor_3n_p1_continuous_1000_0042/graph.npy,csuite_grid_datasets/csuite_backdoor_3n_p1_continuous_1000_0042/regimes.csv,csuite_grid_datasets/csuite_backdoor_3n_p1_continuous_1000_0042/interventions.csv,test,200,3
csuite_grid_datasets/csuite_backdoor_3n_p1_continuous_1000_0043/data.npy,csuite_grid_datasets/csuite_backdoor_3n_p1_continuous_1000_0043/graph.npy,csuite_grid_datasets/csuite_backdoor_3n_p1_continuous_1000_0043/regimes.csv,csuite_grid_datasets/csuite_backdoor_3n_p1_continuous_1000_0043/interventions.csv,train,800,3
csuite_grid_datasets/csuite_backdoor_3n_p1_continuous_1000_0043/data.npy,csuite_grid_datasets/csuite_backdoor_3n_p1_continuous_1000_0043/graph.npy,csuite_grid_datasets/csuite_backdoor_3n_p1_continuous_1000_0043/regimes.csv,csuite_grid_datasets/csuite_backdoor_3n_p1_continuous_1000_0043/interventions.csv,test,200,3
csuite_grid_datasets/csuite_backdoor_3n_p1_continuous_1000_0044/data.npy,csuite_grid_datasets/csuite_backdoor_3n_p1_continuous_1000_0044/graph.npy,csuite_grid_datasets/csuite_backdoor_3n_p1_continuous_1000_0044/regimes.csv,csuite_grid_datasets/csuite_backdoor_3n_p1_continuous_1000_0044/interventions.csv,train,800,3
csuite_grid_datasets/csuite_backdoor_3n_p1_continuous_1000_0044/data.npy,csuite_grid_datasets/csuite_backdoor_3n_p1_continuous_1000_0044/graph.npy,csuite_grid_datasets/csuite_backdoor_3n_p1_continuous_1000_0044/regimes.csv,csuite_grid_datasets/csuite_backdoor_3n_p1_continuous_1000_0044/interventions.csv,test,200,3
csuite_grid_datasets/csuite_weak_arrow_3n_p1_continuous_1000_0042/data.npy,csuite_grid_datasets/csuite_weak_arrow_3n_p1_continuous_1000_0042/graph.npy,csuite_grid_datasets/csuite_weak_arrow_3n_p1_continuous_1000_0042/regimes.csv,csuite_grid_datasets/csuite_weak_arrow_3n_p1_continuous_1000_0042/interventions.csv,train,800,3
csuite_grid_datasets/csuite_weak_arrow_3n_p1_continuous_1000_0042/data.npy,csuite_grid_datasets/csuite_weak_arrow_3n_p1_continuous_1000_0042/graph.npy,csuite_grid_datasets/csuite_weak_arrow_3n_p1_continuous_1000_0042/regimes.csv,csuite_grid_datasets/csuite_weak_arrow_3n_p1_continuous_1000_0042/interventions.csv,test,200,3
csuite_grid_datasets/csuite_weak_arrow_3n_p1_continuous_1000_0043/data.npy,csuite_grid_datasets/csuite_weak_arrow_3n_p1_continuous_1000_0043/graph.npy,csuite_grid_datasets/csuite_weak_arrow_3n_p1_continuous_1000_0043/regimes.csv,csuite_grid_datasets/csuite_weak_arrow_3n_p1_continuous_1000_0043/interventions.csv,train,800,3
csuite_grid_datasets/csuite_weak_arrow_3n_p1_continuous_1000_0043/data.npy,csuite_grid_datasets/csuite_weak_arrow_3n_p1_continuous_1000_0043/graph.npy,csuite_grid_datasets/csuite_weak_arrow_3n_p1_continuous_1000_0043/regimes.csv,csuite_grid_datasets/csuite_weak_arrow_3n_p1_continuous_1000_0043/interventions.csv,test,200,3
csuite_grid_datasets/csuite_weak_arrow_3n_p1_continuous_1000_0044/data.npy,csuite_grid_datasets/csuite_weak_arrow_3n_p1_continuous_1000_0044/graph.npy,csuite_grid_datasets/csuite_weak_arrow_3n_p1_continuous_1000_0044/regimes.csv,csuite_grid_datasets/csuite_weak_arrow_3n_p1_continuous_1000_0044/interventions.csv,train,800,3
csuite_grid_datasets/csuite_weak_arrow_3n_p1_continuous_1000_0044/data.npy,csuite_grid_datasets/csuite_weak_arrow_3n_p1_continuous_1000_0044/graph.npy,csuite_grid_datasets/csuite_weak_arrow_3n_p1_continuous_1000_0044/regimes.csv,csuite_grid_datasets/csuite_weak_arrow_3n_p1_continuous_1000_0044/interventions.csv,test,200,3
csuite_grid_datasets/csuite_chain_4n_p1_continuous_1000_0042/data.npy,csuite_grid_datasets/csuite_chain_4n_p1_continuous_1000_0042/graph.npy,csuite_grid_datasets/csuite_chain_4n_p1_continuous_1000_0042/regimes.csv,csuite_grid_datasets/csuite_chain_4n_p1_continuous_1000_0042/interventions.csv,train,800,4
csuite_grid_datasets/csuite_chain_4n_p1_continuous_1000_0042/data.npy,csuite_grid_datasets/csuite_chain_4n_p1_continuous_1000_0042/graph.npy,csuite_grid_datasets/csuite_chain_4n_p1_continuous_1000_0042/regimes.csv,csuite_grid_datasets/csuite_chain_4n_p1_continuous_1000_0042/interventions.csv,test,200,4
csuite_grid_datasets/csuite_chain_4n_p1_continuous_1000_0043/data.npy,csuite_grid_datasets/csuite_chain_4n_p1_continuous_1000_0043/graph.npy,csuite_grid_datasets/csuite_chain_4n_p1_continuous_1000_0043/regimes.csv,csuite_grid_datasets/csuite_chain_4n_p1_continuous_1000_0043/interventions.csv,train,800,4
csuite_grid_datasets/csuite_chain_4n_p1_continuous_1000_0043/data.npy,csuite_grid_datasets/csuite_chain_4n_p1_continuous_1000_0043/graph.npy,csuite_grid_datasets/csuite_chain_4n_p1_continuous_1000_0043/regimes.csv,csuite_grid_datasets/csuite_chain_4n_p1_continuous_1000_0043/interventions.csv,test,200,4
csuite_grid_datasets/csuite_chain_4n_p1_continuous_1000_0044/data.npy,csuite_grid_datasets/csuite_chain_4n_p1_continuous_1000_0044/graph.npy,csuite_grid_datasets/csuite_chain_4n_p1_continuous_1000_0044/regimes.csv,csuite_grid_datasets/csuite_chain_4n_p1_continuous_1000_0044/interventions.csv,train,800,4
csuite_grid_datasets/csuite_chain_4n_p1_continuous_1000_0044/data.npy,csuite_grid_datasets/csuite_chain_4n_p1_continuous_1000_0044/graph.npy,csuite_grid_datasets/csuite_chain_4n_p1_continuous_1000_0044/regimes.csv,csuite_grid_datasets/csuite_chain_4n_p1_continuous_1000_0044/interventions.csv,test,200,4
csuite_grid_datasets/csuite_collider_4n_p1_continuous_1000_0042/data.npy,csuite_grid_datasets/csuite_collider_4n_p1_continuous_1000_0042/graph.npy,csuite_grid_datasets/csuite_collider_4n_p1_continuous_1000_0042/regimes.csv,csuite_grid_datasets/csuite_collider_4n_p1_continuous_1000_0042/interventions.csv,train,800,4
csuite_grid_datasets/csuite_collider_4n_p1_continuous_1000_0042/data.npy,csuite_grid_datasets/csuite_collider_4n_p1_continuous_1000_0042/graph.npy,csuite_grid_datasets/csuite_collider_4n_p1_continuous_1000_0042/regimes.csv,csuite_grid_datasets/csuite_collider_4n_p1_continuous_1000_0042/interventions.csv,test,200,4
csuite_grid_datasets/csuite_collider_4n_p1_continuous_1000_0043/data.npy,csuite_grid_datasets/csuite_collider_4n_p1_continuous_1000_0043/graph.npy,csuite_grid_datasets/csuite_collider_4n_p1_continuous_1000_0043/regimes.csv,csuite_grid_datasets/csuite_collider_4n_p1_continuous_1000_0043/interventions.csv,train,800,4
csuite_grid_datasets/csuite_collider_4n_p1_continuous_1000_0043/data.npy,csuite_grid_datasets/csuite_collider_4n_p1_continuous_1000_0043/graph.npy,csuite_grid_datasets/csuite_collider_4n_p1_continuous_1000_0043/regimes.csv,csuite_grid_datasets/csuite_collider_4n_p1_continuous_1000_0043/interventions.csv,test,200,4
csuite_grid_datasets/csuite_collider_4n_p1_continuous_1000_0044/data.npy,csuite_grid_datasets/csuite_collider_4n_p1_continuous_1000_0044/graph.npy,csuite_grid_datasets/csuite_collider_4n_p1_continuous_1000_0044/regimes.csv,csuite_grid_datasets/csuite_collider_4n_p1_continuous_1000_0044/interventions.csv,train,800,4
csuite_grid_datasets/csuite_collider_4n_p1_continuous_1000_0044/data.npy,csuite_grid_datasets/csuite_collider_4n_p1_continuous_1000_0044/graph.npy,csuite_grid_datasets/csuite_collider_4n_p1_continuous_1000_0044/regimes.csv,csuite_grid_datasets/csuite_collider_4n_p1_continuous_1000_0044/interventions.csv,test,200,4
csuite_grid_datasets/csuite_backdoor_4n_p1_continuous_1000_0042/data.npy,csuite_grid_datasets/csuite_backdoor_4n_p1_continuous_1000_0042/graph.npy,csuite_grid_datasets/csuite_backdoor_4n_p1_continuous_1000_0042/regimes.csv,csuite_grid_datasets/csuite_backdoor_4n_p1_continuous_1000_0042/interventions.csv,train,800,4
csuite_grid_datasets/csuite_backdoor_4n_p1_continuous_1000_0042/data.npy,csuite_grid_datasets/csuite_backdoor_4n_p1_continuous_1000_0042/graph.npy,csuite_grid_datasets/csuite_backdoor_4n_p1_continuous_1000_0042/regimes.csv,csuite_grid_datasets/csuite_backdoor_4n_p1_continuous_1000_0042/interventions.csv,test,200,4
csuite_grid_datasets/csuite_backdoor_4n_p1_continuous_1000_0043/data.npy,csuite_grid_datasets/csuite_backdoor_4n_p1_continuous_1000_0043/graph.npy,csuite_grid_datasets/csuite_backdoor_4n_p1_continuous_1000_0043/regimes.csv,csuite_grid_datasets/csuite_backdoor_4n_p1_continuous_1000_0043/interventions.csv,train,800,4
csuite_grid_datasets/csuite_backdoor_4n_p1_continuous_1000_0043/data.npy,csuite_grid_datasets/csuite_backdoor_4n_p1_continuous_1000_0043/graph.npy,csuite_grid_datasets/csuite_backdoor_4n_p1_continuous_1000_0043/regimes.csv,csuite_grid_datasets/csuite_backdoor_4n_p1_continuous_1000_0043/interventions.csv,test,200,4
csuite_grid_datasets/csuite_backdoor_4n_p1_continuous_1000_0044/data.npy,csuite_grid_datasets/csuite_backdoor_4n_p1_continuous_1000_0044/graph.npy,csuite_grid_datasets/csuite_backdoor_4n_p1_continuous_1000_0044/regimes.csv,csuite_grid_datasets/csuite_backdoor_4n_p1_continuous_1000_0044/interventions.csv,train,800,4
csuite_grid_datasets/csuite_backdoor_4n_p1_continuous_1000_0044/data.npy,csuite_grid_datasets/csuite_backdoor_4n_p1_continuous_1000_0044/graph.npy,csuite_grid_datasets/csuite_backdoor_4n_p1_continuous_1000_0044/regimes.csv,csuite_grid_datasets/csuite_backdoor_4n_p1_continuous_1000_0044/interventions.csv,test,200,4
csuite_grid_datasets/csuite_weak_arrow_4n_p1_continuous_1000_0042/data.npy,csuite_grid_datasets/csuite_weak_arrow_4n_p1_continuous_1000_0042/graph.npy,csuite_grid_datasets/csuite_weak_arrow_4n_p1_continuous_1000_0042/regimes.csv,csuite_grid_datasets/csuite_weak_arrow_4n_p1_continuous_1000_0042/interventions.csv,train,800,4
csuite_grid_datasets/csuite_weak_arrow_4n_p1_continuous_1000_0042/data.npy,csuite_grid_datasets/csuite_weak_arrow_4n_p1_continuous_1000_0042/graph.npy,csuite_grid_datasets/csuite_weak_arrow_4n_p1_continuous_1000_0042/regimes.csv,csuite_grid_datasets/csuite_weak_arrow_4n_p1_continuous_1000_0042/interventions.csv,test,200,4
csuite_grid_datasets/csuite_weak_arrow_4n_p1_continuous_1000_0043/data.npy,csuite_grid_datasets/csuite_weak_arrow_4n_p1_continuous_1000_0043/graph.npy,csuite_grid_datasets/csuite_weak_arrow_4n_p1_continuous_1000_0043/regimes.csv,csuite_grid_datasets/csuite_weak_arrow_4n_p1_continuous_1000_0043/interventions.csv,train,800,4
csuite_grid_datasets/csuite_weak_arrow_4n_p1_continuous_1000_0043/data.npy,csuite_grid_datasets/csuite_weak_arrow_4n_p1_continuous_1000_0043/graph.npy,csuite_grid_datasets/csuite_weak_arrow_4n_p1_continuous_1000_0043/regimes.csv,csuite_grid_datasets/csuite_weak_arrow_4n_p1_continuous_1000_0043/interventions.csv,test,200,4
csuite_grid_datasets/csuite_weak_arrow_4n_p1_continuous_1000_0044/data.npy,csuite_grid_datasets/csuite_weak_arrow_4n_p1_continuous_1000_0044/graph.npy,csuite_grid_datasets/csuite_weak_arrow_4n_p1_continuous_1000_0044/regimes.csv,csuite_grid_datasets/csuite_weak_arrow_4n_p1_continuous_1000_0044/interventions.csv,train,800,4
csuite_grid_datasets/csuite_weak_arrow_4n_p1_continuous_1000_0044/data.npy,csuite_grid_datasets/csuite_weak_arrow_4n_p1_continuous_1000_0044/graph.npy,csuite_grid_datasets/csuite_weak_arrow_4n_p1_continuous_1000_0044/regimes.csv,csuite_grid_datasets/csuite_weak_arrow_4n_p1_continuous_1000_0044/interventions.csv,test,200,4
csuite_grid_datasets/csuite_chain_5n_p1_continuous_1000_0042/data.npy,csuite_grid_datasets/csuite_chain_5n_p1_continuous_1000_0042/graph.npy,csuite_grid_datasets/csuite_chain_5n_p1_continuous_1000_0042/regimes.csv,csuite_grid_datasets/csuite_chain_5n_p1_continuous_1000_0042/interventions.csv,train,800,5
csuite_grid_datasets/csuite_chain_5n_p1_continuous_1000_0042/data.npy,csuite_grid_datasets/csuite_chain_5n_p1_continuous_1000_0042/graph.npy,csuite_grid_datasets/csuite_chain_5n_p1_continuous_1000_0042/regimes.csv,csuite_grid_datasets/csuite_chain_5n_p1_continuous_1000_0042/interventions.csv,test,200,5
csuite_grid_datasets/csuite_chain_5n_p1_continuous_1000_0043/data.npy,csuite_grid_datasets/csuite_chain_5n_p1_continuous_1000_0043/graph.npy,csuite_grid_datasets/csuite_chain_5n_p1_continuous_1000_0043/regimes.csv,csuite_grid_datasets/csuite_chain_5n_p1_continuous_1000_0043/interventions.csv,train,800,5
csuite_grid_datasets/csuite_chain_5n_p1_continuous_1000_0043/data.npy,csuite_grid_datasets/csuite_chain_5n_p1_continuous_1000_0043/graph.npy,csuite_grid_datasets/csuite_chain_5n_p1_continuous_1000_0043/regimes.csv,csuite_grid_datasets/csuite_chain_5n_p1_continuous_1000_0043/interventions.csv,test,200,5
csuite_grid_datasets/csuite_chain_5n_p1_continuous_1000_0044/data.npy,csuite_grid_datasets/csuite_chain_5n_p1_continuous_1000_0044/graph.npy,csuite_grid_datasets/csuite_chain_5n_p1_continuous_1000_0044/regimes.csv,csuite_grid_datasets/csuite_chain_5n_p1_continuous_1000_0044/interventions.csv,train,800,5
csuite_grid_datasets/csuite_chain_5n_p1_continuous_1000_0044/data.npy,csuite_grid_datasets/csuite_chain_5n_p1_continuous_1000_0044/graph.npy,csuite_grid_datasets/csuite_chain_5n_p1_continuous_1000_0044/regimes.csv,csuite_grid_datasets/csuite_chain_5n_p1_continuous_1000_0044/interventions.csv,test,200,5
csuite_grid_datasets/csuite_collider_5n_p1_continuous_1000_0042/data.npy,csuite_grid_datasets/csuite_collider_5n_p1_continuous_1000_0042/graph.npy,csuite_grid_datasets/csuite_collider_5n_p1_continuous_1000_0042/regimes.csv,csuite_grid_datasets/csuite_collider_5n_p1_continuous_1000_0042/interventions.csv,train,800,5
csuite_grid_datasets/csuite_collider_5n_p1_continuous_1000_0042/data.npy,csuite_grid_datasets/csuite_collider_5n_p1_continuous_1000_0042/graph.npy,csuite_grid_datasets/csuite_collider_5n_p1_continuous_1000_0042/regimes.csv,csuite_grid_datasets/csuite_collider_5n_p1_continuous_1000_0042/interventions.csv,test,200,5
csuite_grid_datasets/csuite_collider_5n_p1_continuous_1000_0043/data.npy,csuite_grid_datasets/csuite_collider_5n_p1_continuous_1000_0043/graph.npy,csuite_grid_datasets/csuite_collider_5n_p1_continuous_1000_0043/regimes.csv,csuite_grid_datasets/csuite_collider_5n_p1_continuous_1000_0043/interventions.csv,train,800,5
